NTDID,Agency,MODE,TOS,Active,HQ City,HQ State,UZA,UZAName,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population,Most Recent Report Year,FY End Month,FY End Year,Passenger Miles FY,Unlinked Passenger Trips FY,Average Trip Length FY,Fares FY,Operating Expenses FY,Average Cost per Trip FY,Average Fares per Trip FY
0053,Coeur d'Alene Tribe dba Citylink Transit,MB,DO,Active,Worley,ID,323,"Coeur d'Alene, ID","109,156,799","74,800",800,"137,000",2010,9,2010,0,0,0.0,$0,$0,$0.00,$0.00
0054,King County Ferry District,FB,DO,Active,Seattle,WA,14,"Seattle, WA",954,"2,712,205","2,134","1,909,300",2010,12,2010,"1,536,200","153,620",10.0,"$444,807","$1,523,203",$9.90,$2.90
1001,Rhode Island Public Transit Authority,DR,DO,Active,Providence,RI,34,"Providence, RI-MA",504,"1,174,548","1,436","1,048,319",2010,6,2010,"3,580,205","435,582",8.2,"$569,455","$11,411,752",$26.20,$1.30
1001,Rhode Island Public Transit Authority,DR,PT,Active,Providence,RI,34,"Providence, RI-MA",504,"1,174,548","1,436","1,048,319",2010,6,2010,"711,439","67,061",10.6,"$56,194","$2,339,023",$34.90,$0.80
1001,Rhode Island Public Transit Authority,DT,PT,Active,Providence,RI,34,"Providence, RI-MA",504,"1,174,548","1,436","1,048,319",2010,6,2010,"763,248","114,232",6.7,"$58,548","$2,955,863",$25.90,$0.50
1001,Rhode Island Public Transit Authority,MB,DO,Active,Providence,RI,34,"Providence, RI-MA",504,"1,174,548","1,436","1,048,319",2010,6,2010,"73,886,379","19,543,988",3.8,"$18,048,941","$80,881,429",$4.10,$0.90
1002,Manchester Transit Authority,DR,DO,Active,Manchester,NH,196,"Manchester, NH",71,"143,549",47,"143,500",2010,6,2010,"50,567","13,687",3.7,"$40,185","$473,289",$34.60,$2.90
1002,Manchester Transit Authority,MB,DO,Active,Manchester,NH,196,"Manchester, NH",71,"143,549",47,"143,500",2010,6,2010,"1,107,932","446,902",2.5,"$524,925","$2,846,403",$6.40,$1.20
1003,Massachusetts Bay Transportation Authority,CR,DO,Active,Boston,MA,7,"Boston, MA-NH-RI","1,736","4,032,484","3,244","4,510,400",2010,6,2010,0,0,0.0,$0,$0,$0.00,$0.00
1003,Massachusetts Bay Transportation Authority,CR,PT,Active,Boston,MA,7,"Boston, MA-NH-RI","1,736","4,032,484","3,244","4,510,400",2010,6,2010,"749,020,739","36,909,924",20.3,"$133,495,748","$280,287,152",$7.60,$3.60
1003,Massachusetts Bay Transportation Authority,DR,PT,Active,Boston,MA,7,"Boston, MA-NH-RI","1,736","4,032,484","3,244","4,510,400",2010,6,2010,"25,218,394","2,095,998",12.0,"$3,504,823","$87,289,966",$41.60,$1.70
1003,Massachusetts Bay Transportation Authority,FB,PT,Active,Boston,MA,7,"Boston, MA-NH-RI","1,736","4,032,484","3,244","4,510,400",2010,6,2010,"10,203,774","1,290,556",7.9,"$5,711,433","$9,891,657",$7.70,$4.40
1003,Massachusetts Bay Transportation Authority,HR,DO,Active,Boston,MA,7,"Boston, MA-NH-RI","1,736","4,032,484","3,244","4,510,400",2010,6,2010,"482,503,335","139,039,529",3.5,"$153,168,117","$306,460,723",$2.20,$1.10
1003,Massachusetts Bay Transportation Authority,LR,DO,Active,Boston,MA,7,"Boston, MA-NH-RI","1,736","4,032,484","3,244","4,510,400",2010,6,2010,"155,207,168","65,471,593",2.4,"$69,637,279","$140,761,337",$2.10,$1.10
