NTDID,Agency,Modes,TOS,Estimate,Month,Year
0011,Valley Regional Transit,DR,DO,"1,115",October,2014
0011,Valley Regional Transit,MB,DO,"113,011",October,2014
0024,Clark County Public Transportation Benefit Area Authority,CB,DO,"41,347",October,2014
0024,Clark County Public Transportation Benefit Area Authority,DR,DO,"4,391",October,2014
0024,Clark County Public Transportation Benefit Area Authority,MB,DO,"398,934",October,2014
0024,Clark County Public Transportation Benefit Area Authority,VP,DO,"5,392",October,2014
0028,Pierce County Ferry Operations,FB,PT,"18,579",September,2014
0028,Pierce County Ferry Operations,FB,PT,"18,034",October,2014
0034,Rogue Valley Transportation District,DR,PT,882,October,2014
0034,Rogue Valley Transportation District,MB,DO,"100,324",October,2014
0040,Central Puget Sound Regional Transit Authority,CB,DO,"796,559",October,2014
0040,Central Puget Sound Regional Transit Authority,CB,PT,"209,112",October,2014
0040,Central Puget Sound Regional Transit Authority,CR,PT,"309,046",October,2014
0040,Central Puget Sound Regional Transit Authority,LR,DO,"844,368",October,2014
0040,Central Puget Sound Regional Transit Authority,SR,DO,"98,358",October,2014
0047,City of Corvallis,MB,PT,"74,479",October,2014
0054,King County Ferry District,FB,DO,"58,283",September,2014
0054,King County Ferry District,FB,DO,"56,572",October,2014
0057,Central Oregon Intergovernmental Council,CB,DO,"3,998",August,2014
0057,Central Oregon Intergovernmental Council,CB,DO,"4,081",September,2014
0057,Central Oregon Intergovernmental Council,CB,DO,"2,715",October,2014
0057,Central Oregon Intergovernmental Council,DR,DO,"4,351",August,2014
0057,Central Oregon Intergovernmental Council,DR,DO,"4,353",September,2014
0057,Central Oregon Intergovernmental Council,DR,DO,954,October,2014
0057,Central Oregon Intergovernmental Council,DR,PT,"4,393",August,2014
0057,Central Oregon Intergovernmental Council,DR,PT,"4,395",September,2014
0057,Central Oregon Intergovernmental Council,DR,PT,963,October,2014
0057,Central Oregon Intergovernmental Council,MB,PT,"27,813",August,2014
0057,Central Oregon Intergovernmental Council,MB,PT,"29,165",September,2014
0057,Central Oregon Intergovernmental Council,MB,PT,"25,814",October,2014
1005,Lowell Regional Transit Authority,DR,DO,895,October,2014
1007,Berkshire Regional Transit Authority,DR,PT,"2,037",August,2014
1007,Berkshire Regional Transit Authority,DR,PT,"2,038",September,2014
1007,Berkshire Regional Transit Authority,DR,PT,446,October,2014
1007,Berkshire Regional Transit Authority,MB,PT,"45,674",August,2014
1007,Berkshire Regional Transit Authority,MB,PT,"47,895",September,2014
1007,Berkshire Regional Transit Authority,MB,PT,"42,391",October,2014
1013,Merrimack Valley Regional Transit Authority,CB,PT,"5,308",August,2014
1013,Merrimack Valley Regional Transit Authority,CB,PT,"5,418",September,2014
1013,Merrimack Valley Regional Transit Authority,CB,PT,"3,604",October,2014
1013,Merrimack Valley Regional Transit Authority,DR,PT,"5,656",August,2014
1013,Merrimack Valley Regional Transit Authority,DR,PT,"5,659",September,2014
1013,Merrimack Valley Regional Transit Authority,DR,PT,"1,240",October,2014
1013,Merrimack Valley Regional Transit Authority,MB,PT,"155,696",August,2014
1013,Merrimack Valley Regional Transit Authority,MB,PT,"163,267",September,2014
1013,Merrimack Valley Regional Transit Authority,MB,PT,"144,505",October,2014
1014,Worcester Regional Transit Authority,MB,DO,"342,363",October,2014
1040,Southeast Area Transit,DR,PT,406,September,2014
1040,Southeast Area Transit,DR,PT,89,October,2014
1040,Southeast Area Transit,MB,DO,"113,072",September,2014
1040,Southeast Area Transit,MB,DO,"100,079",October,2014
1045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,CB,PT,"14,096",August,2014
1045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,CB,PT,"14,389",September,2014
1045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,CB,PT,"9,572",October,2014
1045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,MB,PT,"18,455",August,2014
1045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,MB,PT,"19,352",September,2014
1045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,MB,PT,"17,128",October,2014
1050,Greater Bridgeport Transit Authority,DR,PT,"2,139",October,2014
1057,Norwalk Transit District,DR,DO,"12,299",July,2014
1057,Norwalk Transit District,DR,DO,"11,966",August,2014
1057,Norwalk Transit District,DR,DO,"11,972",September,2014
1057,Norwalk Transit District,DR,DO,"2,623",October,2014
1057,Norwalk Transit District,DR,PT,"15,833",July,2014
1057,Norwalk Transit District,DR,PT,"15,404",August,2014
1057,Norwalk Transit District,DR,PT,"15,411",September,2014
1057,Norwalk Transit District,DR,PT,"3,376",October,2014
1057,Norwalk Transit District,MB,DO,"160,339",July,2014
1057,Norwalk Transit District,MB,DO,"152,336",August,2014
1057,Norwalk Transit District,MB,DO,"159,744",September,2014
1057,Norwalk Transit District,MB,DO,"141,387",October,2014
1057,Norwalk Transit District,MB,PT,"2,786",July,2014
1057,Norwalk Transit District,MB,PT,"2,647",August,2014
1057,Norwalk Transit District,MB,PT,"2,776",September,2014
1057,Norwalk Transit District,MB,PT,"2,457",October,2014
1063,Middletown Transit District,DR,DO,"2,210",August,2014
1063,Middletown Transit District,DR,DO,"2,211",September,2014
1063,Middletown Transit District,DR,DO,484,October,2014
1063,Middletown Transit District,MB,DO,"30,286",August,2014
1063,Middletown Transit District,MB,DO,"31,759",September,2014
1063,Middletown Transit District,MB,DO,"28,109",October,2014
1066,Chittenden County Transportation Authority,CB,DO,"17,487",September,2014
1066,Chittenden County Transportation Authority,CB,DO,"11,633",October,2014
1066,Chittenden County Transportation Authority,DR,PT,"4,780",August,2014
1066,Chittenden County Transportation Authority,DR,PT,"4,782",September,2014
1066,Chittenden County Transportation Authority,DR,PT,"1,048",October,2014
1066,Chittenden County Transportation Authority,MB,DO,"206,131",September,2014
1066,Chittenden County Transportation Authority,MB,DO,"182,444",October,2014
1069,"Regional Transportation Program, Inc.",DR,DO,"7,213",August,2014
1069,"Regional Transportation Program, Inc.",DR,DO,"7,216",September,2014
1069,"Regional Transportation Program, Inc.",DR,DO,"1,581",October,2014
1088,Casco Bay Island Transit District,FB,DO,"172,335",August,2014
1088,Casco Bay Island Transit District,FB,DO,"144,191",September,2014
1088,Casco Bay Island Transit District,FB,DO,"139,959",October,2014
1102,Connecticut Department of Transportation,CB,PT,"13,201",October,2014
1102,Connecticut Department of Transportation,CR,PT,"81,140",October,2014
1105,Cape Cod Regional Transit Authority,DT,PT,"5,900",October,2014
1107,Milford Transit District,DR,DO,"4,560",August,2014
1107,Milford Transit District,DR,DO,"4,562",September,2014
1107,Milford Transit District,DR,DO,999,October,2014
1107,Milford Transit District,MB,DO,"30,271",August,2014
1107,Milford Transit District,MB,DO,"31,743",September,2014
1107,Milford Transit District,MB,DO,"28,095",October,2014
1108,Greater Hartford Ridesharing Corporation - The Rideshare Company,VP,DO,"44,749",October,2014
1117,Plymouth & Brockton Street Railway Company,CB,DO,"33,181",October,2014
1128,Connecticut Department of Transportation- CTTransit Waterbury- NET,DR,PT,"1,808",October,2014
1128,Connecticut Department of Transportation- CTTransit Waterbury- NET,MB,PT,"222,000",October,2014
1129,Massachusetts Department of Transportation,CB,PT,"37,653",October,2014
1130,Connecticut Department of Transportation -CTTRANSIT New Britain,MB,PT,"64,570",July,2014
1130,Connecticut Department of Transportation -CTTRANSIT New Britain,MB,PT,"61,347",August,2014
1130,Connecticut Department of Transportation -CTTRANSIT New Britain,MB,PT,"64,330",September,2014
1130,Connecticut Department of Transportation -CTTRANSIT New Britain,MB,PT,"56,938",October,2014
2002,Capital District Transportation Authority,CB,PT,"15,027",August,2014
2002,Capital District Transportation Authority,CB,PT,"15,340",September,2014
2002,Capital District Transportation Authority,CB,PT,"10,205",October,2014
2002,Capital District Transportation Authority,DR,DO,"8,678",August,2014
2002,Capital District Transportation Authority,DR,DO,"8,682",September,2014
2002,Capital District Transportation Authority,DR,DO,"1,902",October,2014
2002,Capital District Transportation Authority,DT,PT,"14,426",August,2014
2002,Capital District Transportation Authority,DT,PT,"11,850",September,2014
2002,Capital District Transportation Authority,DT,PT,"10,905",October,2014
2002,Capital District Transportation Authority,MB,DO,"1,162,054",August,2014
2002,Capital District Transportation Authority,MB,DO,"1,218,561",September,2014
2002,Capital District Transportation Authority,MB,DO,"1,078,532",October,2014
2002,Capital District Transportation Authority,VP,PT,869,August,2014
2002,Capital District Transportation Authority,VP,PT,887,September,2014
2002,Capital District Transportation Authority,VP,PT,816,October,2014
2004,Niagara Frontier Transportation Authority,DR,DO,"3,457",October,2014
2004,Niagara Frontier Transportation Authority,LR,DO,"287,981",October,2014
2004,Niagara Frontier Transportation Authority,MB,DO,"1,712,004",October,2014
2006,City of Long Beach,DR,DO,"2,779",September,2014
2006,City of Long Beach,DR,DO,609,October,2014
2006,City of Long Beach,MB,DO,"38,225",September,2014
2006,City of Long Beach,MB,DO,"33,832",October,2014
2072,Suffolk County Department of Public Works - Transportation Division,DR,PT,"11,092",October,2014
2076,Westchester County Bee-Line System,DR,PT,"5,133",October,2014
2076,Westchester County Bee-Line System,MB,PT,"2,424,844",October,2014
2098,Port Authority Trans-Hudson Corporation,FB,PT,"100,049",October,2014
2098,Port Authority Trans-Hudson Corporation,HR,DO,"6,835,709",October,2014
2100,MTA Long Island Rail Road,CR,DO,"6,472,449",August,2014
2100,MTA Long Island Rail Road,CR,DO,"6,256,684",September,2014
2100,MTA Long Island Rail Road,CR,DO,"6,267,533",October,2014
2135,Monsey New Square Trails Corporation,CB,DO,"37,030",October,2014
2145,Tompkins Consolidated Area Transit,DR,PT,"1,181",October,2014
2145,Tompkins Consolidated Area Transit,MB,DO,"391,095",October,2014
2145,Tompkins Consolidated Area Transit,VP,PT,343,October,2014
2161,DeCamp Bus Lines,CB,DO,"155,777",September,2014
2161,DeCamp Bus Lines,CB,DO,"103,627",October,2014
2165,"Olympia Trails Bus Company, Inc.",CB,DO,"58,691",September,2014
2165,"Olympia Trails Bus Company, Inc.",CB,DO,"39,043",October,2014
2177,"Adirondack Transit Lines, Inc,",CB,DO,"30,787",October,2014
2212,County of Hunterdon,DR,PT,"2,704",October,2014
3001,Kanawha Valley Regional Transportation Authority,DR,DO,"6,267",July,2014
3001,Kanawha Valley Regional Transportation Authority,DR,DO,"6,097",August,2014
3001,Kanawha Valley Regional Transportation Authority,DR,DO,"6,100",September,2014
3001,Kanawha Valley Regional Transportation Authority,DR,DO,"1,336",October,2014
3001,Kanawha Valley Regional Transportation Authority,MB,DO,"229,240",July,2014
3001,Kanawha Valley Regional Transportation Authority,MB,DO,"217,798",August,2014
3001,Kanawha Valley Regional Transportation Authority,MB,DO,"228,389",September,2014
3001,Kanawha Valley Regional Transportation Authority,MB,DO,"202,144",October,2014
3007,Greater Roanoke Transit Company,CB,DO,"1,074",October,2014
3007,Greater Roanoke Transit Company,DR,PT,"1,540",October,2014
3007,Greater Roanoke Transit Company,MB,DO,"183,348",October,2014
3008,Greater Lynchburg Transit Company,DR,DO,"1,666",August,2014
3008,Greater Lynchburg Transit Company,DR,DO,"1,667",September,2014
3008,Greater Lynchburg Transit Company,DR,DO,365,October,2014
3008,Greater Lynchburg Transit Company,MB,DO,"75,747",August,2014
3008,Greater Lynchburg Transit Company,MB,DO,"79,430",September,2014
3008,Greater Lynchburg Transit Company,MB,DO,"70,302",October,2014
3010,Lehigh and Northampton Transportation Authority,DR,PT,"107,299",July,2014
3010,Lehigh and Northampton Transportation Authority,DR,PT,"104,393",August,2014
3010,Lehigh and Northampton Transportation Authority,DR,PT,"104,442",September,2014
3010,Lehigh and Northampton Transportation Authority,DR,PT,"22,882",October,2014
3010,Lehigh and Northampton Transportation Authority,MB,DO,"419,622",July,2014
3010,Lehigh and Northampton Transportation Authority,MB,DO,"398,677",August,2014
3010,Lehigh and Northampton Transportation Authority,MB,DO,"418,063",September,2014
3010,Lehigh and Northampton Transportation Authority,MB,DO,"370,022",October,2014
3011,Altoona Metro Transit,DR,DO,7,October,2014
3011,Altoona Metro Transit,MB,DO,"50,037",October,2014
3015,Luzerne County Transportation Authority,DR,DO,"2,881",October,2014
3015,Luzerne County Transportation Authority,DR,PT,519,August,2014
3015,Luzerne County Transportation Authority,DR,PT,519,September,2014
3015,Luzerne County Transportation Authority,DR,PT,114,October,2014
3015,Luzerne County Transportation Authority,MB,DO,"94,193",October,2014
3019,Southeastern Pennsylvania Transportation Authority,MB,PT,"7,616",July,2014
3019,Southeastern Pennsylvania Transportation Authority,MB,PT,"7,236",August,2014
3019,Southeastern Pennsylvania Transportation Authority,MB,PT,"7,588",September,2014
3019,Southeastern Pennsylvania Transportation Authority,MB,PT,"6,716",October,2014
3022,Port Authority of Allegheny County,DR,PT,"30,274",October,2014
3022,Port Authority of Allegheny County,IP,DO,0,October,2014
3022,Port Authority of Allegheny County,LR,DO,"616,875",October,2014
3022,Port Authority of Allegheny County,MB,DO,"4,225,103",October,2014
3023,Beaver County Transit Authority,DR,DO,"6,341",August,2014
3023,Beaver County Transit Authority,DR,DO,"6,344",September,2014
3023,Beaver County Transit Authority,DR,DO,"1,390",October,2014
3023,Beaver County Transit Authority,MB,DO,"73,428",August,2014
3023,Beaver County Transit Authority,MB,DO,"76,999",September,2014
3023,Beaver County Transit Authority,MB,DO,"68,151",October,2014
3025,County of Lackawanna Transit System,DR,DO,"1,977",October,2014
3025,County of Lackawanna Transit System,DR,PT,2,October,2014
3025,County of Lackawanna Transit System,MB,DO,"85,863",October,2014
3025,County of Lackawanna Transit System,MB,PT,"5,055",October,2014
3026,Williamsport Bureau of Transportation,DR,PT,49,August,2014
3026,Williamsport Bureau of Transportation,DR,PT,49,September,2014
3026,Williamsport Bureau of Transportation,DR,PT,11,October,2014
3026,Williamsport Bureau of Transportation,MB,DO,"103,531",August,2014
3026,Williamsport Bureau of Transportation,MB,DO,"108,565",September,2014
3026,Williamsport Bureau of Transportation,MB,DO,"96,089",October,2014
3027,York County Transportation Authority,CB,DO,"8,516",August,2014
3027,York County Transportation Authority,CB,DO,"8,693",September,2014
3027,York County Transportation Authority,CB,DO,"5,783",October,2014
3027,York County Transportation Authority,DR,DO,"23,594",August,2014
3027,York County Transportation Authority,DR,DO,"23,605",September,2014
3027,York County Transportation Authority,DR,DO,"5,172",October,2014
3027,York County Transportation Authority,DR,PT,"1,567",August,2014
3027,York County Transportation Authority,DR,PT,"1,568",September,2014
3027,York County Transportation Authority,DR,PT,344,October,2014
3027,York County Transportation Authority,DT,PT,574,August,2014
3027,York County Transportation Authority,DT,PT,471,September,2014
3027,York County Transportation Authority,DT,PT,433,October,2014
3027,York County Transportation Authority,MB,DO,"121,864",August,2014
3027,York County Transportation Authority,MB,DO,"127,790",September,2014
3027,York County Transportation Authority,MB,DO,"113,105",October,2014
3030,Washington Metropolitan Area Transit Authority,MB,PT,"390,993",October,2014
3034,Maryland Transit Administration,CB,PT,"243,028",October,2014
3034,Maryland Transit Administration,CR,PT,"785,546",October,2014
3034,Maryland Transit Administration,DR,PT,"35,595",October,2014
3034,Maryland Transit Administration,DT,PT,"51,763",September,2014
3034,Maryland Transit Administration,DT,PT,"47,635",October,2014
3034,Maryland Transit Administration,HR,DO,"1,266,777",October,2014
3034,Maryland Transit Administration,LR,DO,"535,519",October,2014
3034,Maryland Transit Administration,MB,DO,"6,337,550",October,2014
3044,Westmoreland County Transit Authority,DR,PT,"17,238",August,2014
3044,Westmoreland County Transit Authority,DR,PT,"17,246",September,2014
3044,Westmoreland County Transit Authority,DR,PT,"3,778",October,2014
3044,Westmoreland County Transit Authority,MB,PT,"44,019",August,2014
3044,Westmoreland County Transit Authority,MB,PT,"46,159",September,2014
3044,Westmoreland County Transit Authority,MB,PT,"40,855",October,2014
3048,Howard Transit,DR,PT,"13,929",July,2014
3048,Howard Transit,DR,PT,"13,552",August,2014
3048,Howard Transit,DR,PT,"13,558",September,2014
3048,Howard Transit,DR,PT,"2,970",October,2014
3048,Howard Transit,MB,PT,"91,867",July,2014
3048,Howard Transit,MB,PT,"87,282",August,2014
3048,Howard Transit,MB,PT,"91,526",September,2014
3048,Howard Transit,MB,PT,"81,008",October,2014
3051,Ride-On Montgomery County Transit,MB,DO,"2,175,366",August,2014
3051,Ride-On Montgomery County Transit,MB,DO,"2,281,147",September,2014
3051,Ride-On Montgomery County Transit,MB,DO,"2,019,013",October,2014
3054,Centre Area Transportation Authority,DR,PT,"2,904",September,2014
3054,Centre Area Transportation Authority,DR,PT,636,October,2014
3054,Centre Area Transportation Authority,MB,DO,"369,127",September,2014
3054,Centre Area Transportation Authority,MB,DO,"326,709",October,2014
3054,Centre Area Transportation Authority,VP,DO,"18,065",September,2014
3054,Centre Area Transportation Authority,VP,DO,"16,609",October,2014
3057,Pennsylvania Department of Transportation,CR,PT,"112,008",October,2014
3068,Fairfax Connector Bus System,MB,PT,"922,576",August,2014
3068,Fairfax Connector Bus System,MB,PT,"967,438",September,2014
3068,Fairfax Connector Bus System,MB,PT,"856,267",October,2014
3070,Potomac and Rappahannock Transportation Commission,CB,PT,"100,766",October,2014
3070,Potomac and Rappahannock Transportation Commission,MB,PT,"119,555",October,2014
3072,Transit Services of Frederick County,DR,DO,"5,856",September,2014
3072,Transit Services of Frederick County,DR,DO,"1,283",October,2014
3072,Transit Services of Frederick County,MB,DO,"66,641",September,2014
3072,Transit Services of Frederick County,MB,DO,"58,983",October,2014
3075,Delaware Transit Corporation,DR,DO,"81,855",August,2014
3075,Delaware Transit Corporation,DR,DO,"81,894",September,2014
3075,Delaware Transit Corporation,DR,DO,"17,942",October,2014
3075,Delaware Transit Corporation,DR,PT,"3,418",August,2014
3075,Delaware Transit Corporation,DR,PT,"3,420",September,2014
3075,Delaware Transit Corporation,DR,PT,749,October,2014
3075,Delaware Transit Corporation,MB,DO,"839,742",August,2014
3075,Delaware Transit Corporation,MB,DO,"880,576",September,2014
3075,Delaware Transit Corporation,MB,DO,"779,386",October,2014
3075,Delaware Transit Corporation,MB,PT,"24,650",August,2014
3075,Delaware Transit Corporation,MB,PT,"25,849",September,2014
3075,Delaware Transit Corporation,MB,PT,"22,879",October,2014
3077,Borough of Pottstown - Pottstown Area Rapid Transit,DR,PT,"1,100",July,2014
3077,Borough of Pottstown - Pottstown Area Rapid Transit,DR,PT,"1,070",August,2014
3077,Borough of Pottstown - Pottstown Area Rapid Transit,DR,PT,"1,071",September,2014
3077,Borough of Pottstown - Pottstown Area Rapid Transit,DR,PT,235,October,2014
3077,Borough of Pottstown - Pottstown Area Rapid Transit,MB,PT,"20,595",July,2014
3077,Borough of Pottstown - Pottstown Area Rapid Transit,MB,PT,"19,567",August,2014
3077,Borough of Pottstown - Pottstown Area Rapid Transit,MB,PT,"20,518",September,2014
3077,Borough of Pottstown - Pottstown Area Rapid Transit,MB,PT,"18,160",October,2014
3085,Prince George's County Transit,DR,DO,"10,216",August,2014
3085,Prince George's County Transit,DR,DO,"10,221",September,2014
3085,Prince George's County Transit,DR,DO,"2,239",October,2014
3085,Prince George's County Transit,MB,PT,"299,277",August,2014
3085,Prince George's County Transit,MB,PT,"313,830",September,2014
3085,Prince George's County Transit,MB,PT,"277,767",October,2014
3096,The Tri--County Council for the Lower Eastern Shore of Maryland,MB,DO,"25,609",October,2014
3101,City of Washington,DR,PT,163,October,2014
3102,Martz Trailways,CB,DO,"81,922",September,2014
3102,Martz Trailways,CB,DO,"54,497",October,2014
3103,"Martz Group, National Coach Works of Virginia",CB,DO,"25,175",September,2014
3103,"Martz Group, National Coach Works of Virginia",CB,DO,"16,747",October,2014
3107,West Virginia University - Morgantown Personal Rapid Transit,MG,DO,"51,718",October,2014
4002,Knoxville Area Transit,DR,DO,988,October,2014
4002,Knoxville Area Transit,MB,DO,"233,235",October,2014
4003,Memphis Area Transit Authority,SR,DO,"25,765",July,2014
4003,Memphis Area Transit Authority,SR,DO,"20,403",August,2014
4003,Memphis Area Transit Authority,SR,DO,"22,578",September,2014
4003,Memphis Area Transit Authority,SR,DO,"25,226",October,2014
4004,Metropolitan Transit Authority,MB,DO,"767,756",October,2014
4005,ART (Asheville Redefines Transit),DR,PT,"2,347",August,2014
4005,ART (Asheville Redefines Transit),DR,PT,"2,348",September,2014
4005,ART (Asheville Redefines Transit),DR,PT,514,October,2014
4007,Capital Area Transit,DT,PT,"30,213",October,2014
4015,City of Jackson Transit System,DR,DO,624,October,2014
4015,City of Jackson Transit System,MB,DO,"47,611",October,2014
4017,Lexington Transit Authority,DR,PT,"3,504",October,2014
4017,Lexington Transit Authority,MB,DO,"315,441",October,2014
4021,Albany Transit System,DR,DO,"1,353",September,2014
4021,Albany Transit System,DR,DO,296,October,2014
4021,Albany Transit System,MB,DO,"95,764",September,2014
4021,Albany Transit System,MB,DO,"84,759",October,2014
4022,Metropolitan Atlanta Rapid Transit Authority,DR,DO,"10,986",October,2014
4022,Metropolitan Atlanta Rapid Transit Authority,HR,DO,"6,375,906",October,2014
4022,Metropolitan Atlanta Rapid Transit Authority,MB,DO,"4,958,372",October,2014
4023,Augusta Richmond County Transit Department,DR,PT,367,October,2014
4023,Augusta Richmond County Transit Department,MB,PT,"64,009",October,2014
4027,Pinellas Suncoast Transit Authority,CB,DO,"8,333",September,2014
4027,Pinellas Suncoast Transit Authority,CB,DO,"5,543",October,2014
4027,Pinellas Suncoast Transit Authority,DR,PT,"12,756",September,2014
4027,Pinellas Suncoast Transit Authority,DR,PT,"2,795",October,2014
4027,Pinellas Suncoast Transit Authority,DT,PT,"11,018",September,2014
4027,Pinellas Suncoast Transit Authority,DT,PT,"10,139",October,2014
4027,Pinellas Suncoast Transit Authority,MB,DO,"1,189,286",September,2014
4027,Pinellas Suncoast Transit Authority,MB,DO,"1,052,621",October,2014
4027,Pinellas Suncoast Transit Authority,MB,PT,"59,216",September,2014
4027,Pinellas Suncoast Transit Authority,MB,PT,"52,411",October,2014
4031,Lakeland Area Mass Transit District,DR,DO,"1,454",October,2014
4031,Lakeland Area Mass Transit District,MB,DO,"93,141",October,2014
4034,Miami-Dade Transit,DR,PT,"31,266",October,2014
4034,Miami-Dade Transit,HR,DO,"1,766,398",October,2014
4034,Miami-Dade Transit,MB,DO,"5,638,416",October,2014
4034,Miami-Dade Transit,MB,PT,"29,453",August,2014
4034,Miami-Dade Transit,MB,PT,"30,885",September,2014
4034,Miami-Dade Transit,MB,PT,"27,336",October,2014
4034,Miami-Dade Transit,MG,DO,"103,847",October,2014
4035,Central Florida Regional Transportation Authority,CB,PT,505,October,2014
4035,Central Florida Regional Transportation Authority,DR,PT,"11,694",October,2014
4035,Central Florida Regional Transportation Authority,MB,DO,"2,074,921",October,2014
4035,Central Florida Regional Transportation Authority,MB,PT,"13,744",October,2014
4035,Central Florida Regional Transportation Authority,RB,DO,"106,067",October,2014
4035,Central Florida Regional Transportation Authority,VP,PT,"14,217",August,2014
4035,Central Florida Regional Transportation Authority,VP,PT,"14,507",September,2014
4035,Central Florida Regional Transportation Authority,VP,PT,"13,338",October,2014
4036,City of Tallahassee,DR,DO,"7,582",September,2014
4036,City of Tallahassee,DR,DO,"1,661",October,2014
4036,City of Tallahassee,MB,DO,"295,207",September,2014
4036,City of Tallahassee,MB,DO,"261,284",October,2014
4038,Escambia County Area Transit,DR,PT,"9,106",July,2014
4038,Escambia County Area Transit,DR,PT,"8,859",August,2014
4038,Escambia County Area Transit,DR,PT,"8,863",September,2014
4038,Escambia County Area Transit,DR,PT,"1,942",October,2014
4038,Escambia County Area Transit,MB,PT,"133,098",July,2014
4038,Escambia County Area Transit,MB,PT,"126,455",August,2014
4038,Escambia County Area Transit,MB,PT,"132,604",September,2014
4038,Escambia County Area Transit,MB,PT,"117,366",October,2014
4044,City of Montgomery-Montgomery Area Transit System,DR,DO,645,October,2014
4044,City of Montgomery-Montgomery Area Transit System,MB,DO,"70,558",October,2014
4046,Sarasota County Area Transit,CB,DO,"2,118",October,2014
4046,Sarasota County Area Transit,DR,DO,871,October,2014
4046,Sarasota County Area Transit,DR,PT,"2,456",October,2014
4046,Sarasota County Area Transit,MB,DO,"194,901",October,2014
4051,Chapel Hill Transit,DR,DO,"1,044",October,2014
4051,Chapel Hill Transit,MB,DO,"620,690",October,2014
4051,Chapel Hill Transit,MB,PT,96,October,2014
4053,Greenville Transit Authority,DR,DO,697,August,2014
4053,Greenville Transit Authority,DR,DO,697,September,2014
4053,Greenville Transit Authority,DR,DO,153,October,2014
4053,Greenville Transit Authority,MB,DO,"76,018",August,2014
4053,Greenville Transit Authority,MB,DO,"79,714",September,2014
4053,Greenville Transit Authority,MB,DO,"70,554",October,2014
4058,City of Rome Transit Department,DR,DO,"2,154",August,2014
4058,City of Rome Transit Department,DR,DO,"2,155",September,2014
4058,City of Rome Transit Department,DR,DO,472,October,2014
4058,City of Rome Transit Department,MB,DO,"14,499",August,2014
4058,City of Rome Transit Department,MB,DO,"15,204",September,2014
4058,City of Rome Transit Department,MB,DO,"13,457",October,2014
4063,Space Coast Area Transit,DR,DO,"2,299",October,2014
4063,Space Coast Area Transit,DR,PT,"4,481",October,2014
4063,Space Coast Area Transit,MB,DO,"161,812",October,2014
4063,Space Coast Area Transit,VP,PT,"11,964",October,2014
