NTDID,Agency,Active,SSW,UZA,UZA Name,Modes,TOS,JAN02,FEB02,MAR02,APR02,MAY02,JUN02,JUL02,AUG02,SEP02,OCT02,NOV02,DEC02,JAN03,FEB03,MAR03,APR03,MAY03,JUN03,JUL03,AUG03,SEP03,OCT03,NOV03,DEC03,JAN04,FEB04,MAR04,APR04,MAY04,JUN04,JUL04,AUG04,SEP04,OCT04,NOV04,DEC04,JAN05,FEB05,MAR05,APR05,MAY05,JUN05,JUL05,AUG05,SEP05,OCT05,NOV05,DEC05,JAN06,FEB06,MAR06,APR06,MAY06,JUN06,JUL06,AUG06,SEP06,OCT06,NOV06,DEC06,JAN07,FEB07,MAR07,APR07,MAY07,JUN07,JUL07,AUG07,SEP07,OCT07,NOV07,DEC07,JAN08,FEB08,MAR08,APR08,MAY08,JUN08,JUL08,AUG08,SEP08,OCT08,NOV08,DEC08,JAN09,FEB09,MAR09,APR09,MAY09,JUN09,JUL09,AUG09,SEP09,OCT09,NOV09,DEC09,JAN10,FEB10,MAR10,APR10,MAY10,JUN10,JUL10,AUG10,SEP10,OCT10,NOV10,DEC10,JAN11,FEB11,MAR11,APR11,MAY11,JUN11,JUL11,AUG11,SEP11,OCT11,NOV11,DEC11,JAN12,FEB12,MAR12,APR12,MAY12,JUN12,JUL12,AUG12,SEP12,OCT12,NOV12,DEC12,JAN13,FEB13,MAR13,APR13,MAY13,JUN13,JUL13,AUG13,SEP13,OCT13,NOV13,DEC13,JAN14,FEB14,MAR14,APR14,MAY14,JUN14,JUL14,AUG14,SEP14,OCT14,NOV14,DEC14,JAN15
0007,Lane Transit District,Active,N,151,"Eugene, OR",DR,PT,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,28,28,28,28,28,28,30,31,32,32,32,32,32,32,32,36,36,36,36,36,36,37,37,38,37,37,37,37,37,37,37,37,37,37,37,37,41,41,41,41,41,41,41,41,41,41,41,41,51,51,51,48,48,49,47,47,48,48,48,48,55,47,47,50,47,48,47,45,47,49,48,48,49,48,48,47,47,49,49,48,48,49,49,47,49,49,48,48,48,48,48,47,47,48,48,48,0
0007,Lane Transit District,Active,N,151,"Eugene, OR",DT,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,152,157,163,154,158,153,155,145,140,142,142,157,157,157,157,157,157,113,117,121,114,120,118,120,112,128,127,121,122,113,115,119,120,124,125,179,183,119,135,151,125,150,168,167,154,176,161,0
0007,Lane Transit District,Active,N,151,"Eugene, OR",MB,DO,94,94,94,94,94,94,94,94,94,94,94,94,98,98,98,98,98,98,98,98,98,98,98,98,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,92,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,84,84,84,84,84,84,69,69,75,75,75,74,75,78,76,77,77,76,67,67,76,76,75,75,76,75,76,75,75,75,71,72,72,73,75,75,77,73,73,73,74,73,68,67,71,75,73,74,0
0007,Lane Transit District,Active,N,151,"Eugene, OR",MB,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0007,Lane Transit District,Active,N,151,"Eugene, OR",RB,DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
0007,Lane Transit District,Active,N,151,"Eugene, OR",VP,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,4,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,7,7,7,7,7,7,7,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,11,11,12,12,13,13,14,15,15,15,15,14,14,14,14,15,15,17,17,17,17,17,17,17,0
0008,Tri-County Metropolitan Transportation District of Oregon,Active,N,24,"Portland, OR-WA",CR,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0008,Tri-County Metropolitan Transportation District of Oregon,Active,N,24,"Portland, OR-WA",DR,PT,186,186,186,186,186,186,186,186,186,186,186,186,173,173,173,173,173,173,173,173,173,173,173,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,237,233,240,240,238,247,228,239,253,264,262,266,258,258,261,252,256,248,243,256,272,268,272,268,268,258,262,255,253,263,258,271,269,273,272,264,262,254,260,256,259,249,244,249,256,257,260,254,256,261,260,251,253,249,244,248,263,264,264,218,215,217,219,221,212,208,217,216,209,216,209,212,213,212,216,213,212,209,205,207,212,218,223,208,209,209,215,212,212,208,206,209,213,220,216,211,215,214,213,212,216,203,207,208,216,218,218,219
0008,Tri-County Metropolitan Transportation District of Oregon,Active,N,24,"Portland, OR-WA",DT,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,43,44,45,45,42,39,39,45,49,49,47,45,45,44,50,46,46,52,44,44,47,44,45,43,39,43,40,42,45,45,40,47,50,47,39,43,43,43,43,45,44,45,44,49,48,48,52,42
0008,Tri-County Metropolitan Transportation District of Oregon,Active,N,24,"Portland, OR-WA",LR,DO,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,69,69,69,69,69,69,69,69,83,83,83,83,83,83,83,83,83,83,82,82,82,82,82,82,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,101,101,101,101,108,108,110,110,110,110,100,100,103,103,103,103,110,110,110,110,110,109,109,109,109,109,109,109,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104
0008,Tri-County Metropolitan Transportation District of Oregon,Active,N,24,"Portland, OR-WA",MB,DO,565,565,565,565,565,565,565,564,564,564,564,560,560,560,560,560,560,560,560,560,557,551,551,550,550,550,551,551,547,547,547,547,542,542,542,542,542,542,537,537,537,529,529,529,523,523,523,527,527,527,526,526,526,532,532,532,533,533,533,533,533,533,532,532,532,529,529,529,531,531,531,532,532,532,532,533,532,535,535,535,535,535,535,539,539,539,540,540,540,540,540,540,525,525,525,523,523,523,523,523,523,520,520,520,497,497,497,498,492,492,492,492,492,492,492,492,493,493,493,493,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,505,491,491,500,500,500,516,516,516,517,517,517,517,517,517,517,517,517,517,517
0008,Tri-County Metropolitan Transportation District of Oregon,Active,N,24,"Portland, OR-WA",SR,DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,
0008,Tri-County Metropolitan Transportation District of Oregon,Active,N,24,"Portland, OR-WA",YR,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0011,Valley Regional Transit,Active,N,108,"Boise City, ID",DR,DO,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,13,13,13,13,13,13,13,13,13,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0
0011,Valley Regional Transit,Active,N,108,"Boise City, ID",DR,PT,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0011,Valley Regional Transit,Active,N,108,"Boise City, ID",MB,DO,32,32,32,32,32,32,32,32,32,32,32,32,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,30,30,30,30,30,30,30,30,30,30,30,30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,35,35,35,35,35,38,38,38,38,38,38,38,38,39,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,37,37,37,37,38,38,38,38,38,38,38,40,40,40,0,0,0
