5 digit NTDID,4 digit NTDID,Agency,Mode,TOS,Active,Reporter Type,HQ City,HQ State,UZA,UZA Name,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population,Most Recent Report Year,FY End Month,FY End Year,Passenger Miles FY,Unlinked Passenger Trips FY,Average Trip Length FY,Fares FY,Operating Expenses FY,Average Cost per Trip FY,Average Fares per Trip FY
00003,0003,Pierce County Transportation Benefit Area Authority,DR,PT,Active,Full Reporter: Operating,Tacoma,WA,14,"Seattle, WA","1,010","3,059,393",292,"557,069",2013,12,2013,"1,958,652","256,725",7.63," $	169,952 "," $	10,614,230 ", $	41.34 , $	0.66 
00003,0003,Pierce County Transportation Benefit Area Authority,MB,DO,Active,Full Reporter: Operating,Tacoma,WA,14,"Seattle, WA","1,010","3,059,393",292,"557,069",2013,12,2013,"41,682,045","10,349,186",4.03," $	8,952,627 "," $	49,166,871 ", $	4.75 , $	0.87 
00003,0003,Pierce County Transportation Benefit Area Authority,VP,DO,Active,Full Reporter: Operating,Tacoma,WA,14,"Seattle, WA","1,010","3,059,393",292,"557,069",2013,12,2013,"25,777,961","926,359",27.83," $	3,047,890 "," $	4,139,555 ", $	4.47 , $	3.29 
00005,0005,Everett Transit,DR,DO,Active,Full Reporter: Operating,Everett,WA,14,"Seattle, WA","1,010","3,059,393",34,"104,643",2013,12,2013,"697,020","113,008",6.17," $	106,263 "," $	5,144,959 ", $	45.53 , $	0.94 
00005,0005,Everett Transit,MB,DO,Active,Full Reporter: Operating,Everett,WA,14,"Seattle, WA","1,010","3,059,393",34,"104,643",2013,12,2013,"7,314,826","2,004,062",3.65," $	1,507,463 "," $	13,427,819 ", $	6.70 , $	0.75 
00006,0006,Yakima Transit,CB,PT,Active,Full Reporter: Operating,Yakima,WA,248,"Yakima, WA",60,"129,534",33,"98,214",2013,12,2013,,,,,,,
00006,0006,Yakima Transit,DR,PT,Active,Full Reporter: Operating,Yakima,WA,248,"Yakima, WA",60,"129,534",33,"98,214",2013,12,2013,"259,354","74,697",3.47," $	118,499 "," $	1,276,618 ", $	17.09 , $	1.59 
00006,0006,Yakima Transit,MB,DO,Active,Full Reporter: Operating,Yakima,WA,248,"Yakima, WA",60,"129,534",33,"98,214",2013,12,2013,"3,829,857","1,270,755",3.01," $	873,269 "," $	6,175,199 ", $	4.86 , $	0.69 
00006,0006,Yakima Transit,VP,DO,Active,Full Reporter: Operating,Yakima,WA,248,"Yakima, WA",60,"129,534",33,"98,214",2013,12,2013,"4,493,768","73,817",60.88," $	255,610 "," $	322,558 ", $	4.37 , $	3.46 
00007,0007,Lane Transit District,DR,PT,Active,Full Reporter: Operating,Eugene,OR,151,"Eugene, OR",87,"247,421",482,"297,500",2013,6,2013,"1,868,180","203,926",9.16," $	288,504 "," $	5,428,616 ", $	26.62 , $	1.41 
00007,0007,Lane Transit District,DT,PT,Active,Full Reporter: Operating,Eugene,OR,151,"Eugene, OR",87,"247,421",482,"297,500",2013,6,2013,"954,575","113,871",8.38, $	-00 ," $	4,305,354 ", $	37.81 , $	-00 
00007,0007,Lane Transit District,MB,DO,Active,Full Reporter: Operating,Eugene,OR,151,"Eugene, OR",87,"247,421",482,"297,500",2013,6,2013,"34,088,599","8,569,194",3.98," $	5,254,293 "," $	29,195,808 ", $	3.41 , $	0.61 
00007,0007,Lane Transit District,MB,PT,Active,Full Reporter: Operating,Eugene,OR,151,"Eugene, OR",87,"247,421",482,"297,500",2013,6,2013,"667,395","15,938",41.87," $	38,594 "," $	174,103 ", $	10.92 , $	2.42 
00007,0007,Lane Transit District,RB,DO,Active,Full Reporter: Operating,Eugene,OR,151,"Eugene, OR",87,"247,421",482,"297,500",2013,6,2013,"7,840,004","2,707,309",2.90," $	1,660,015 "," $	5,583,993 ", $	2.06 , $	0.61 
00007,0007,Lane Transit District,VP,PT,Active,Full Reporter: Operating,Eugene,OR,151,"Eugene, OR",87,"247,421",482,"297,500",2013,6,2013,"2,066,080","35,813",57.69," $	127,274 "," $	189,187 ", $	5.28 , $	3.55 
00008,0008,Tri-County Metropolitan Transportation District of Oregon,CR,PT,Active,Full Reporter: Operating,Portland,OR,24,"Portland, OR-WA",524,"1,849,898",570,"1,489,796",2013,6,2013,,,,,,,
00008,0008,Tri-County Metropolitan Transportation District of Oregon,DR,PT,Active,Full Reporter: Operating,Portland,OR,24,"Portland, OR-WA",524,"1,849,898",570,"1,489,796",2013,6,2013,"9,200,402","929,550",9.90," $	3,708,623 "," $	32,176,213 ", $	34.61 , $	3.99 
00008,0008,Tri-County Metropolitan Transportation District of Oregon,DT,PT,Active,Full Reporter: Operating,Portland,OR,24,"Portland, OR-WA",524,"1,849,898",570,"1,489,796",2013,6,2013,"1,072,637","108,150",9.92," $	431,486 "," $	3,409,839 ", $	31.53 , $	3.99 
00008,0008,Tri-County Metropolitan Transportation District of Oregon,LR,DO,Active,Full Reporter: Operating,Portland,OR,24,"Portland, OR-WA",524,"1,849,898",570,"1,489,796",2013,6,2013,"216,270,097","39,174,406",5.52," $	46,442,818 "," $	99,326,676 ", $	2.54 , $	1.19 
00008,0008,Tri-County Metropolitan Transportation District of Oregon,MB,DO,Active,Full Reporter: Operating,Portland,OR,24,"Portland, OR-WA",524,"1,849,898",570,"1,489,796",2013,6,2013,"230,817,729","58,662,016",3.93," $	63,818,606 "," $	239,125,561 ", $	4.08 , $	1.09 
00008,0008,Tri-County Metropolitan Transportation District of Oregon,SR,DO,Active,Full Reporter: Operating,Portland,OR,24,"Portland, OR-WA",524,"1,849,898",570,"1,489,796",2013,6,2013,,,,,,,
00008,0008,Tri-County Metropolitan Transportation District of Oregon,YR,PT,Active,Full Reporter: Operating,Portland,OR,24,"Portland, OR-WA",524,"1,849,898",570,"1,489,796",2013,6,2013,"3,552,562","441,926",8.04," $	467,838 "," $	7,036,033 ", $	15.92 , $	1.06 
00011,0011,Valley Regional Transit,DR,DO,Active,Full Reporter: Operating,Meridian,ID,108,"Boise City, ID",134,"349,684",66,"349,684",2013,9,2013,"368,607","46,167",7.98," $	86,154 "," $	1,289,329 ", $	27.93 , $	1.87 
00011,0011,Valley Regional Transit,DR,PT,Active,Full Reporter: Operating,Meridian,ID,108,"Boise City, ID",134,"349,684",66,"349,684",2013,9,2013,,,,,,,
00011,0011,Valley Regional Transit,MB,DO,Active,Full Reporter: Operating,Meridian,ID,108,"Boise City, ID",134,"349,684",66,"349,684",2013,9,2013,"9,175,402","1,454,105",6.31," $	906,723 "," $	7,233,541 ", $	4.97 , $	0.62 
00011,0011,Valley Regional Transit,MB,PT,Active,Full Reporter: Operating,Meridian,ID,108,"Boise City, ID",134,"349,684",66,"349,684",2013,9,2013,,,,,,,
00012,0012,Municipality of Anchorage - Public Transportation Department,DR,PT,Active,Full Reporter: Operating,Anchorage,AK,149,"Anchorage, AK",85,"251,243",77,"245,069",2013,12,2013,"922,877","184,021",5.02," $	1,237,847 "," $	6,216,617 ", $	33.78 , $	6.73 
00012,0012,Municipality of Anchorage - Public Transportation Department,MB,DO,Active,Full Reporter: Operating,Anchorage,AK,149,"Anchorage, AK",85,"251,243",77,"245,069",2013,12,2013,"19,307,313","3,986,877",4.84," $	4,265,961 "," $	23,530,609 ", $	5.90 , $	1.07 
00012,0012,Municipality of Anchorage - Public Transportation Department,VP,PT,Active,Full Reporter: Operating,Anchorage,AK,149,"Anchorage, AK",85,"251,243",77,"245,069",2013,12,2013,,,," $	643,117 "," $	1,141,235 ",,
00016,0016,RiverCities Transit,DR,PT,Active,Full Reporter: Operating,Longview,WA,431,"Longview, WA-OR",33,"63,952",23,"48,573",2013,12,2013,"190,019","59,381",3.20," $	20,288 "," $	1,305,552 ", $	21.99 , $	0.34 
00016,0016,RiverCities Transit,MB,DO,Active,Full Reporter: Operating,Longview,WA,431,"Longview, WA-OR",33,"63,952",23,"48,573",2013,12,2013,"1,679,995","359,742",4.67," $	123,942 "," $	2,663,089 ", $	7.40 , $	0.34 
00018,0018,Ben Franklin Transit,DR,DO,Active,Full Reporter: Operating,Richland,WA,171,"Kennewick-Pasco, WA",102,"210,975",80,"222,392",2013,12,2013,"1,846,310","308,232",5.99," $	261,144 "," $	11,101,162 ", $	36.02 , $	0.85 
00018,0018,Ben Franklin Transit,DR,PT,Active,Full Reporter: Operating,Richland,WA,171,"Kennewick-Pasco, WA",102,"210,975",80,"222,392",2013,12,2013,"409,349","69,499",5.89," $	31,275 "," $	927,320 ", $	13.34 , $	0.45 
00018,0018,Ben Franklin Transit,DT,PT,Active,Full Reporter: Operating,Richland,WA,171,"Kennewick-Pasco, WA",102,"210,975",80,"222,392",2013,12,2013,"564,282","88,883",6.35," $	99,954 "," $	1,695,371 ", $	19.07 , $	1.12 
00018,0018,Ben Franklin Transit,MB,DO,Active,Full Reporter: Operating,Richland,WA,171,"Kennewick-Pasco, WA",102,"210,975",80,"222,392",2013,12,2013,"20,980,821","2,789,196",7.52," $	1,277,604 "," $	13,751,054 ", $	4.93 , $	0.46 
00018,0018,Ben Franklin Transit,VP,DO,Active,Full Reporter: Operating,Richland,WA,171,"Kennewick-Pasco, WA",102,"210,975",80,"222,392",2013,12,2013,"27,594,822","861,586",32.03," $	2,156,253 "," $	2,885,367 ", $	3.35 , $	2.50 
00019,0019,Intercity Transit,CB,DO,Active,Full Reporter: Operating,Olympia,WA,195,"Olympia-Lacey, WA",106,"176,617",97,"161,000",2013,12,2013,"5,493,027","211,686",25.95," $	387,089 "," $	1,980,268 ", $	9.35 , $	1.83 
00019,0019,Intercity Transit,DR,DO,Active,Full Reporter: Operating,Olympia,WA,195,"Olympia-Lacey, WA",106,"176,617",97,"161,000",2013,12,2013,"938,790","156,477",6.00," $	210,126 "," $	7,234,090 ", $	46.23 , $	1.34 
00019,0019,Intercity Transit,MB,DO,Active,Full Reporter: Operating,Olympia,WA,195,"Olympia-Lacey, WA",106,"176,617",97,"161,000",2013,12,2013,"14,322,880","4,222,385",3.39," $	2,463,042 "," $	21,294,504 ", $	5.04 , $	0.58 
00019,0019,Intercity Transit,VP,DO,Active,Full Reporter: Operating,Olympia,WA,195,"Olympia-Lacey, WA",106,"176,617",97,"161,000",2013,12,2013,"26,612,743","761,597",34.94," $	1,845,933 "," $	1,970,044 ", $	2.59 , $	2.42 
00020,0020,Kitsap Transit,DR,DO,Active,Full Reporter: Operating,Bremerton,WA,180,"Bremerton, WA",136,"198,979",396,"251,133",2013,12,2013,"1,671,289","283,598",5.89," $	298,168 "," $	9,723,702 ", $	34.29 , $	1.05 
00020,0020,Kitsap Transit,DT,PT,Active,Full Reporter: Operating,Bremerton,WA,180,"Bremerton, WA",136,"198,979",396,"251,133",2013,12,2013,"1,156",118,9.80, $	248 ," $	4,928 ", $	41.76 , $	2.10 
00020,0020,Kitsap Transit,FB,PT,Active,Full Reporter: Operating,Bremerton,WA,180,"Bremerton, WA",136,"198,979",396,"251,133",2013,12,2013,"704,109","450,732",1.56," $	779,834 "," $	2,176,747 ", $	4.83 , $	1.73 
00020,0020,Kitsap Transit,MB,DO,Active,Full Reporter: Operating,Bremerton,WA,180,"Bremerton, WA",136,"198,979",396,"251,133",2013,12,2013,"15,084,954","2,967,591",5.08," $	5,145,340 "," $	17,350,322 ", $	5.85 , $	1.73 
00020,0020,Kitsap Transit,VP,DO,Active,Full Reporter: Operating,Bremerton,WA,180,"Bremerton, WA",136,"198,979",396,"251,133",2013,12,2013,"4,578,332","226,339",20.23," $	589,039 "," $	967,348 ", $	4.27 , $	2.60 
00021,0021,Whatcom Transportation Authority,DR,DO,Active,Full Reporter: Operating,Bellingham,WA,275,"Bellingham, WA",48,"114,473",776,"205,618",2013,12,2013,"1,015,833","181,228",5.61," $	76,441 "," $	6,957,972 ", $	38.39 , $	0.42 
00021,0021,Whatcom Transportation Authority,DR,PT,Active,Full Reporter: Operating,Bellingham,WA,275,"Bellingham, WA",48,"114,473",776,"205,618",2013,12,2013,,,,,,,
00021,0021,Whatcom Transportation Authority,DT,PT,Active,Full Reporter: Operating,Bellingham,WA,275,"Bellingham, WA",48,"114,473",776,"205,618",2013,12,2013,"35,644","3,565",10.00, $	137 ," $	104,916 ", $	29.43 , $	0.04 
00021,0021,Whatcom Transportation Authority,MB,DO,Active,Full Reporter: Operating,Bellingham,WA,275,"Bellingham, WA",48,"114,473",776,"205,618",2013,12,2013,"15,833,752","5,677,806",2.79," $	1,859,314 "," $	15,627,243 ", $	2.75 , $	0.33 
00021,0021,Whatcom Transportation Authority,VP,DO,Active,Full Reporter: Operating,Bellingham,WA,275,"Bellingham, WA",48,"114,473",776,"205,618",2013,12,2013,"2,956,165","59,782",49.45," $	216,962 "," $	303,563 ", $	5.08 , $	3.63 
00022,0022,City of Pocatello - Pocatello Regional Transit,DR,DO,Active,Small Systems Reporter,Pocatello,ID,395,"Pocatello, ID",31,"69,809",27,"81,730",2013,9,2013,0,"109,078",0.00," $	47,470 "," $	1,491,378 ", $	13.67 , $	0.44 
00022,0022,City of Pocatello - Pocatello Regional Transit,MB,DO,Active,Small Systems Reporter,Pocatello,ID,395,"Pocatello, ID",31,"69,809",27,"81,730",2013,9,2013,0,"313,783",0.00," $	90,075 "," $	1,152,078 ", $	3.67 , $	0.29 
00023,0023,City of Seattle - Seattle Center Monorail Transit,MG,PT,Active,Full Reporter: Operating,Seattle,WA,14,"Seattle, WA","1,010","3,059,393",83,"495,500",2013,12,2013,"1,883,406","2,092,673",0.90," $	3,991,266 "," $	3,324,390 ", $	1.59 , $	1.91 
00023,0023,City of Seattle - Seattle Center Monorail Transit,MO,PT,Active,Full Reporter: Operating,Seattle,WA,14,"Seattle, WA","1,010","3,059,393",83,"495,500",2013,12,2013,,,,,,,
00024,0024,Clark County Public Transportation Benefit Area Authority,CB,DO,Active,Full Reporter: Operating,Vancouver,WA,24,"Portland, OR-WA",524,"1,849,898",141,"372,634",2013,12,2013,"9,289,904","734,390",12.65," $	3,473,078 "," $	5,436,270 ", $	7.40 , $	4.73 
00024,0024,Clark County Public Transportation Benefit Area Authority,DR,DO,Active,Full Reporter: Operating,Vancouver,WA,24,"Portland, OR-WA",524,"1,849,898",141,"372,634",2013,12,2013,"1,671,950","231,021",7.24," $	378,198 "," $	9,001,544 ", $	38.96 , $	1.64 
00024,0024,Clark County Public Transportation Benefit Area Authority,MB,DO,Active,Full Reporter: Operating,Vancouver,WA,24,"Portland, OR-WA",524,"1,849,898",141,"372,634",2013,12,2013,"29,110,059","5,458,859",5.33," $	3,920,025 "," $	26,310,863 ", $	4.82 , $	0.72 
00024,0024,Clark County Public Transportation Benefit Area Authority,VP,DO,Active,Full Reporter: Operating,Vancouver,WA,24,"Portland, OR-WA",524,"1,849,898",141,"372,634",2013,12,2013,"1,996,671","67,031",29.79," $	199,799 "," $	223,235 ", $	3.33 , $	2.98 
00025,0025,Salem Area Mass Transit District,DR,PT,Active,Full Reporter: Operating,Salem,OR,156,"Salem, OR",76,"236,632",76,"236,632",2013,6,2013,"5,534,320","488,466",11.33," $	198,154 "," $	12,865,869 ", $	26.34 , $	0.41 
00025,0025,Salem Area Mass Transit District,MB,DO,Active,Full Reporter: Operating,Salem,OR,156,"Salem, OR",76,"236,632",76,"236,632",2013,6,2013,"11,060,948","3,413,873",3.24," $	2,358,925 "," $	19,555,613 ", $	5.73 , $	0.69 
00025,0025,Salem Area Mass Transit District,MB,PT,Active,Full Reporter: Operating,Salem,OR,156,"Salem, OR",76,"236,632",76,"236,632",2013,6,2013,,,,,,,
00025,0025,Salem Area Mass Transit District,VP,PT,Active,Full Reporter: Operating,Salem,OR,156,"Salem, OR",76,"236,632",76,"236,632",2013,6,2013,"2,611,080","72,695",35.92," $	182,063 "," $	300,805 ", $	4.14 , $	2.50 
00028,0028,Pierce County Ferry Operations,FB,PT,Active,Full Reporter: Operating,University Place,WA,14,"Seattle, WA","1,010","3,059,393",233,"800,000",2013,12,2013,"793,587","182,838",4.34," $	2,000,989 "," $	3,100,443 ", $	16.96 , $	10.94 
00029,0029,Snohomish County Public Transportation Benefit Area Corporation,CB,DO,Active,Full Reporter: Operating,Everett,WA,14,"Seattle, WA","1,010","3,059,393",260,"691,588",2013,12,2013,"20,479,257","1,169,446",17.51," $	3,476,786 "," $	11,415,645 ", $	9.76 , $	2.97 
00029,0029,Snohomish County Public Transportation Benefit Area Corporation,CB,PT,Active,Full Reporter: Operating,Everett,WA,14,"Seattle, WA","1,010","3,059,393",260,"691,588",2013,12,2013,"29,206,122","1,499,566",19.48," $	13,818,603 "," $	25,325,587 ", $	16.89 , $	9.22 
00029,0029,Snohomish County Public Transportation Benefit Area Corporation,DR,PT,Active,Full Reporter: Operating,Everett,WA,14,"Seattle, WA","1,010","3,059,393",260,"691,588",2013,12,2013,"2,108,870","188,222",11.20," $	318,984 "," $	7,243,332 ", $	38.48 , $	1.69 
00029,0029,Snohomish County Public Transportation Benefit Area Corporation,MB,DO,Active,Full Reporter: Operating,Everett,WA,14,"Seattle, WA","1,010","3,059,393",260,"691,588",2013,12,2013,"28,815,412","5,311,451",5.43," $	7,467,102 "," $	48,351,884 ", $	9.10 , $	1.41 
00029,0029,Snohomish County Public Transportation Benefit Area Corporation,MB,PT,Active,Full Reporter: Operating,Everett,WA,14,"Seattle, WA","1,010","3,059,393",260,"691,588",2013,12,2013,,,,,,,
00029,0029,Snohomish County Public Transportation Benefit Area Corporation,VP,DO,Active,Full Reporter: Operating,Everett,WA,14,"Seattle, WA","1,010","3,059,393",260,"691,588",2013,12,2013,"24,464,485","927,660",26.37," $	2,752,805 "," $	3,963,917 ", $	4.27 , $	2.97 
,0033,Senior Services of Snohomish County,DR,DO,Inactive,,Mukilteo,WA,14,"Seattle, WA",954,"2,712,205",220,"460,551",2006,12,2006,"2,121,642","211,108",10.05," $	243,329 "," $	5,865,066 ", $	27.78 , $	1.15 
00034,0034,Rogue Valley Transportation District,DR,DO,Active,Full Reporter: Operating,Medford,OR,213,"Medford, OR",65,"154,081",50,"130,714",2013,6,2013,,,,,,,
00034,0034,Rogue Valley Transportation District,DR,PT,Active,Full Reporter: Operating,Medford,OR,213,"Medford, OR",65,"154,081",50,"130,714",2013,6,2013,"438,194","59,240",7.40," $	123,970 "," $	1,967,849 ", $	33.22 , $	2.09 
00034,0034,Rogue Valley Transportation District,MB,DO,Active,Full Reporter: Operating,Medford,OR,213,"Medford, OR",65,"154,081",50,"130,714",2013,6,2013,"6,606,631","1,415,110",4.67," $	1,326,362 "," $	6,317,294 ", $	4.46 , $	0.94 
00034,0034,Rogue Valley Transportation District,VP,PT,Active,Full Reporter: Operating,Medford,OR,213,"Medford, OR",65,"154,081",50,"130,714",2013,6,2013,,,,,,,
00035,0035,Washington State Ferries,FB,DO,Active,Full Reporter: Operating,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","1,945","3,919,300",2013,6,2013,"174,402,552","22,395,169",7.79," $	37,615,750 "," $	229,886,930 ", $	10.27 , $	1.68 
00040,0040,Central Puget Sound Regional Transit Authority,CB,DO,Active,Full Reporter: Operating,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","1,086","2,814,224",2013,12,2013,"193,146,815","13,378,089",14.44," $	24,111,072 "," $	86,570,751 ", $	6.47 , $	1.80 
00040,0040,Central Puget Sound Regional Transit Authority,CB,PT,Active,Full Reporter: Operating,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","1,086","2,814,224",2013,12,2013,"54,993,638","3,226,043",17.05," $	8,503,041 "," $	19,529,501 ", $	6.05 , $	2.64 
00040,0040,Central Puget Sound Regional Transit Authority,CR,PT,Active,Full Reporter: Operating,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","1,086","2,814,224",2013,12,2013,"64,702,017","2,968,041",21.80," $	9,484,285 "," $	38,593,006 ", $	13.00 , $	3.20 
00040,0040,Central Puget Sound Regional Transit Authority,DR,PT,Active,Full Reporter: Operating,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","1,086","2,814,224",2013,12,2013,,,,,,,
00040,0040,Central Puget Sound Regional Transit Authority,LR,DO,Active,Full Reporter: Operating,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","1,086","2,814,224",2013,12,2013,"75,662,813","9,730,027",7.78," $	14,845,952 "," $	52,903,983 ", $	5.44 , $	1.53 
00040,0040,Central Puget Sound Regional Transit Authority,LR,PT,Active,Full Reporter: Operating,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","1,086","2,814,224",2013,12,2013,,,,,,,
00040,0040,Central Puget Sound Regional Transit Authority,MB,DO,Active,Full Reporter: Operating,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","1,086","2,814,224",2013,12,2013,,,,,,,
00040,0040,Central Puget Sound Regional Transit Authority,MB,PT,Active,Full Reporter: Operating,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","1,086","2,814,224",2013,12,2013,,,,,,,
00040,0040,Central Puget Sound Regional Transit Authority,SR,DO,Active,Full Reporter: Operating,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","1,086","2,814,224",2013,12,2013,"788,155","962,306",0.82,," $	4,243,373 ", $	4.41 ,
00041,0041,Alaska Railroad Corporation,AR,DO,Active,Full Reporter: Operating,Anchorage,AK,149,"Anchorage, AK",85,"251,243",85,"251,243",2013,12,2013,"20,181,054","156,301",129.12," $	15,470,981 "," $	35,583,717 ", $	227.66 , $	98.98 
00042,0042,Targhee Regional Public Transit Authority,DR,DO,Active,Small Systems Reporter,Idaho Falls,ID,321,"Idaho Falls, ID",45,"90,733",70,"90,733",2013,9,2013,0,"59,111",0.00," $	55,962 "," $	1,334,955 ", $	22.58 , $	0.95 
00042,0042,Targhee Regional Public Transit Authority,MB,DO,Active,Small Systems Reporter,Idaho Falls,ID,321,"Idaho Falls, ID",45,"90,733",70,"90,733",2013,9,2013,0,"11,949",0.00," $	19,332 "," $	437,193 ", $	36.59 , $	1.62 
00042,0042,Targhee Regional Public Transit Authority,MB,PT,Active,Small Systems Reporter,Idaho Falls,ID,321,"Idaho Falls, ID",45,"90,733",70,"90,733",2013,9,2013,,,,,,,
00043,0043,Link Transit,DR,DO,Active,Full Reporter: Operating,Wenatchee,WA,412,"Wenatchee, WA",31,"67,227",197,"108,660",2013,12,2013,"178,007","52,807",3.37," $	42,568 "," $	1,631,762 ", $	30.90 , $	0.81 
00043,0043,Link Transit,DR,PT,Active,Full Reporter: Operating,Wenatchee,WA,412,"Wenatchee, WA",31,"67,227",197,"108,660",2013,12,2013,"15,696","3,896",4.03," $	1,712 "," $	60,746 ", $	15.59 , $	0.44 
00043,0043,Link Transit,MB,DO,Active,Full Reporter: Operating,Wenatchee,WA,412,"Wenatchee, WA",31,"67,227",197,"108,660",2013,12,2013,"9,043,958","890,632",10.15," $	668,616 "," $	8,343,975 ", $	9.37 , $	0.75 
00044,0044,Skagit Transit,CB,DO,Active,Full Reporter: Operating,Burlington,WA,435,"Mount Vernon, WA",34,"62,966",760,"115,668",2013,12,2013,"3,274,007","109,897",29.79," $	152,964 "," $	909,728 ", $	8.28 , $	1.39 
00044,0044,Skagit Transit,DR,DO,Active,Full Reporter: Operating,Burlington,WA,435,"Mount Vernon, WA",34,"62,966",760,"115,668",2013,12,2013,"242,872","55,204",4.40," $	7,478 "," $	2,829,929 ", $	51.26 , $	0.14 
