NTDID,Agency,Mode,TOS,Active,Small Systems Waiver,HQ City,HQ State,UZA,UZA Name,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population,Most Recent Report Year,FY End Month,FY End Year,Passenger Miles FY,Unlinked Passenger Trips FY,Average Trip Length FY,Fares FY,Operating Expenses FY,Average Cost per Trip FY,Average Fares per Trip FY
0020,Kitsap Transit,VP,DO,Active,N,Bremerton,WA,180,"Bremerton, WA",136,"198,979",396,"251,133",2013,12,2013,"4,578,332","226,339",20.23," $	589,039 "," $	967,348 ", $	4.27 , $	2.60 
0021,Whatcom Transportation Authority,DR,DO,Active,N,Bellingham,WA,275,"Bellingham, WA",48,"114,473",776,"205,618",2013,12,2013,"1,015,833","181,228",5.61," $	76,441 "," $	6,957,972 ", $	38.39 , $	0.42 
0021,Whatcom Transportation Authority,DR,PT,Active,N,Bellingham,WA,275,"Bellingham, WA",48,"114,473",776,"205,618",2013,12,2013,,,,,,,
0021,Whatcom Transportation Authority,DT,PT,Active,N,Bellingham,WA,275,"Bellingham, WA",48,"114,473",776,"205,618",2013,12,2013,"35,644","3,565",10.00, $	137 ," $	104,916 ", $	29.43 , $	0.04 
0021,Whatcom Transportation Authority,MB,DO,Active,N,Bellingham,WA,275,"Bellingham, WA",48,"114,473",776,"205,618",2013,12,2013,"15,833,752","5,677,806",2.79," $	1,859,314 "," $	15,627,243 ", $	2.75 , $	0.33 
0021,Whatcom Transportation Authority,VP,DO,Active,N,Bellingham,WA,275,"Bellingham, WA",48,"114,473",776,"205,618",2013,12,2013,"2,956,165","59,782",49.45," $	216,962 "," $	303,563 ", $	5.08 , $	3.63 
0022,City of Pocatello - Pocatello Regional Transit,DR,DO,Active,Y,Pocatello,ID,395,"Pocatello, ID",31,"69,809",27,"81,730",2013,9,2013,0,"109,078",0.00," $	47,470 "," $	1,491,378 ", $	13.67 , $	0.44 
0022,City of Pocatello - Pocatello Regional Transit,MB,DO,Active,Y,Pocatello,ID,395,"Pocatello, ID",31,"69,809",27,"81,730",2013,9,2013,0,"313,783",0.00," $	90,075 "," $	1,152,078 ", $	3.67 , $	0.29 
0023,City of Seattle - Seattle Center Monorail Transit,MG,PT,Active,N,Seattle,WA,14,"Seattle, WA","1,010","3,059,393",83,"495,500",2013,12,2013,"1,883,406","2,092,673",0.90," $	3,991,266 "," $	3,324,390 ", $	1.59 , $	1.91 
0023,City of Seattle - Seattle Center Monorail Transit,MO,PT,Active,N,Seattle,WA,14,"Seattle, WA","1,010","3,059,393",83,"495,500",2013,12,2013,,,,,,,
0024,Clark County Public Transportation Benefit Area Authority,CB,DO,Active,N,Vancouver,WA,24,"Portland, OR-WA",524,"1,849,898",141,"372,634",2013,12,2013,"9,289,904","734,390",12.65," $	3,473,078 "," $	5,436,270 ", $	7.40 , $	4.73 
0024,Clark County Public Transportation Benefit Area Authority,DR,DO,Active,N,Vancouver,WA,24,"Portland, OR-WA",524,"1,849,898",141,"372,634",2013,12,2013,"1,671,950","231,021",7.24," $	378,198 "," $	9,001,544 ", $	38.96 , $	1.64 
0024,Clark County Public Transportation Benefit Area Authority,MB,DO,Active,N,Vancouver,WA,24,"Portland, OR-WA",524,"1,849,898",141,"372,634",2013,12,2013,"29,110,059","5,458,859",5.33," $	3,920,025 "," $	26,310,863 ", $	4.82 , $	0.72 
0024,Clark County Public Transportation Benefit Area Authority,VP,DO,Active,N,Vancouver,WA,24,"Portland, OR-WA",524,"1,849,898",141,"372,634",2013,12,2013,"1,996,671","67,031",29.79," $	199,799 "," $	223,235 ", $	3.33 , $	2.98 
0025,Salem Area Mass Transit District,DR,PT,Active,N,Salem,OR,156,"Salem, OR",76,"236,632",76,"236,632",2013,6,2013,"5,534,320","488,466",11.33," $	198,154 "," $	12,865,869 ", $	26.34 , $	0.41 
0025,Salem Area Mass Transit District,MB,DO,Active,N,Salem,OR,156,"Salem, OR",76,"236,632",76,"236,632",2013,6,2013,"11,060,948","3,413,873",3.24," $	2,358,925 "," $	19,555,613 ", $	5.73 , $	0.69 
0025,Salem Area Mass Transit District,VP,PT,Active,N,Salem,OR,156,"Salem, OR",76,"236,632",76,"236,632",2013,6,2013,"2,611,080","72,695",35.92," $	182,063 "," $	300,805 ", $	4.14 , $	2.50 
0028,Pierce County Ferry Operations,FB,PT,Active,N,University Place,WA,14,"Seattle, WA","1,010","3,059,393",233,"800,000",2013,12,2013,"793,587","182,838",4.34," $	2,000,989 "," $	3,100,443 ", $	16.96 , $	10.94 
0029,Snohomish County Public Transportation Benefit Area Corporation,CB,DO,Active,N,Everett,WA,14,"Seattle, WA","1,010","3,059,393",260,"691,588",2013,12,2013,"20,479,257","1,169,446",17.51," $	3,476,786 "," $	11,415,645 ", $	9.76 , $	2.97 
0029,Snohomish County Public Transportation Benefit Area Corporation,CB,PT,Active,N,Everett,WA,14,"Seattle, WA","1,010","3,059,393",260,"691,588",2013,12,2013,"29,206,122","1,499,566",19.48," $	13,818,603 "," $	25,325,587 ", $	16.89 , $	9.22 
0029,Snohomish County Public Transportation Benefit Area Corporation,DR,PT,Active,N,Everett,WA,14,"Seattle, WA","1,010","3,059,393",260,"691,588",2013,12,2013,"2,108,870","188,222",11.20," $	318,984 "," $	7,243,332 ", $	38.48 , $	1.69 
0029,Snohomish County Public Transportation Benefit Area Corporation,MB,DO,Active,N,Everett,WA,14,"Seattle, WA","1,010","3,059,393",260,"691,588",2013,12,2013,"28,815,412","5,311,451",5.43," $	7,467,102 "," $	48,351,884 ", $	9.10 , $	1.41 
0029,Snohomish County Public Transportation Benefit Area Corporation,MB,PT,Active,N,Everett,WA,14,"Seattle, WA","1,010","3,059,393",260,"691,588",2013,12,2013,,,,,,,
0029,Snohomish County Public Transportation Benefit Area Corporation,VP,DO,Active,N,Everett,WA,14,"Seattle, WA","1,010","3,059,393",260,"691,588",2013,12,2013,"24,464,485","927,660",26.37," $	2,752,805 "," $	3,963,917 ", $	4.27 , $	2.97 
0033,Senior Services of Snohomish County,DR,DO,Inactive,N,Mukilteo,WA,14,"Seattle, WA",954,"2,712,205",220,"460,551",2006,12,2006,"2,121,642","211,108",10.05," $	243,329 "," $	5,865,066 ", $	27.78 , $	1.15 
0034,Rogue Valley Transportation District,DR,DO,Active,N,Medford,OR,213,"Medford, OR",65,"154,081",50,"130,714",2013,6,2013,,,,,,,
0034,Rogue Valley Transportation District,DR,PT,Active,N,Medford,OR,213,"Medford, OR",65,"154,081",50,"130,714",2013,6,2013,"438,194","59,240",7.40," $	123,970 "," $	1,967,849 ", $	33.22 , $	2.09 
0034,Rogue Valley Transportation District,MB,DO,Active,N,Medford,OR,213,"Medford, OR",65,"154,081",50,"130,714",2013,6,2013,"6,606,631","1,415,110",4.67," $	1,326,362 "," $	6,317,294 ", $	4.46 , $	0.94 
0034,Rogue Valley Transportation District,VP,PT,Active,N,Medford,OR,213,"Medford, OR",65,"154,081",50,"130,714",2013,6,2013,,,,,,,
0035,Washington State Ferries,FB,DO,Active,N,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","1,945","3,919,300",2013,6,2013,"174,402,552","22,395,169",7.79," $	37,615,750 "," $	229,886,930 ", $	10.27 , $	1.68 
0040,Central Puget Sound Regional Transit Authority,CB,DO,Active,N,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","1,086","2,814,224",2013,12,2013,"193,146,815","13,378,089",14.44," $	24,111,072 "," $	86,570,751 ", $	6.47 , $	1.80 
0040,Central Puget Sound Regional Transit Authority,CB,PT,Active,N,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","1,086","2,814,224",2013,12,2013,"54,993,638","3,226,043",17.05," $	8,503,041 "," $	19,529,501 ", $	6.05 , $	2.64 
0040,Central Puget Sound Regional Transit Authority,CR,PT,Active,N,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","1,086","2,814,224",2013,12,2013,"64,702,017","2,968,041",21.80," $	9,484,285 "," $	38,593,006 ", $	13.00 , $	3.20 
0040,Central Puget Sound Regional Transit Authority,DR,PT,Active,N,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","1,086","2,814,224",2013,12,2013,,,,,,,
0040,Central Puget Sound Regional Transit Authority,LR,DO,Active,N,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","1,086","2,814,224",2013,12,2013,"75,662,813","9,730,027",7.78," $	14,845,952 "," $	52,903,983 ", $	5.44 , $	1.53 
0040,Central Puget Sound Regional Transit Authority,LR,PT,Active,N,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","1,086","2,814,224",2013,12,2013,,,,,,,
0040,Central Puget Sound Regional Transit Authority,MB,DO,Active,N,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","1,086","2,814,224",2013,12,2013,,,,,,,
0040,Central Puget Sound Regional Transit Authority,MB,PT,Active,N,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","1,086","2,814,224",2013,12,2013,,,,,,,
0040,Central Puget Sound Regional Transit Authority,SR,DO,Active,N,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","1,086","2,814,224",2013,12,2013,"788,155","962,306",0.82,," $	4,243,373 ", $	4.41 ,
0041,Alaska Railroad Corporation,AR,DO,Active,N,Anchorage,AK,149,"Anchorage, AK",85,"251,243",85,"251,243",2013,12,2013,"20,181,054","156,301",129.12," $	15,470,981 "," $	35,583,717 ", $	227.66 , $	98.98 
0042,Targhee Regional Public Transit Authority,DR,DO,Active,Y,Idaho Falls,ID,321,"Idaho Falls, ID",45,"90,733",70,"90,733",2013,9,2013,0,"59,111",0.00," $	55,962 "," $	1,334,955 ", $	22.58 , $	0.95 
0042,Targhee Regional Public Transit Authority,MB,DO,Active,Y,Idaho Falls,ID,321,"Idaho Falls, ID",45,"90,733",70,"90,733",2013,9,2013,0,"11,949",0.00," $	19,332 "," $	437,193 ", $	36.59 , $	1.62 
0042,Targhee Regional Public Transit Authority,MB,PT,Active,Y,Idaho Falls,ID,321,"Idaho Falls, ID",45,"90,733",70,"90,733",2013,9,2013,,,,,,,
0043,Link Transit,DR,DO,Active,N,Wenatchee,WA,412,"Wenatchee, WA",31,"67,227",197,"108,660",2013,12,2013,"178,007","52,807",3.37," $	42,568 "," $	1,631,762 ", $	30.90 , $	0.81 
0043,Link Transit,DR,PT,Active,N,Wenatchee,WA,412,"Wenatchee, WA",31,"67,227",197,"108,660",2013,12,2013,"15,696","3,896",4.03," $	1,712 "," $	60,746 ", $	15.59 , $	0.44 
0043,Link Transit,MB,DO,Active,N,Wenatchee,WA,412,"Wenatchee, WA",31,"67,227",197,"108,660",2013,12,2013,"9,043,958","890,632",10.15," $	668,616 "," $	8,343,975 ", $	9.37 , $	0.75 
0044,Skagit Transit,CB,DO,Active,N,Burlington,WA,435,"Mount Vernon, WA",34,"62,966",760,"115,668",2013,12,2013,"3,274,007","109,897",29.79," $	152,964 "," $	909,728 ", $	8.28 , $	1.39 
0044,Skagit Transit,DR,DO,Active,N,Burlington,WA,435,"Mount Vernon, WA",34,"62,966",760,"115,668",2013,12,2013,"242,872","55,204",4.40," $	7,478 "," $	2,829,929 ", $	51.26 , $	0.14 
0044,Skagit Transit,MB,DO,Active,N,Burlington,WA,435,"Mount Vernon, WA",34,"62,966",760,"115,668",2013,12,2013,"3,928,304","644,968",6.09," $	318,008 "," $	5,664,275 ", $	8.78 , $	0.49 
0044,Skagit Transit,VP,DO,Active,N,Burlington,WA,435,"Mount Vernon, WA",34,"62,966",760,"115,668",2013,12,2013,"5,571,224","126,746",43.96," $	492,806 "," $	556,868 ", $	4.39 , $	3.89 
0045,Fairbanks North Star Borough Transit,DR,DO,Active,Y,Fairbanks,AK,425,"Fairbanks, AK",55,"64,513","7,338","97,581",2013,6,2013,0,"20,082",0.00," $	36,351 "," $	1,320,945 ", $	65.78 , $	1.81 
0045,Fairbanks North Star Borough Transit,MB,DO,Active,Y,Fairbanks,AK,425,"Fairbanks, AK",55,"64,513","7,338","97,581",2013,6,2013,0,"475,875",0.00," $	253,234 "," $	4,053,409 ", $	8.52 , $	0.53 
0046,South Metro Area Regional Transit,DR,DO,Active,Y,Wilsonville,OR,24,"Portland, OR-WA",524,"1,849,898",80,"20,515",2013,6,2013,0,"18,954",0.00," $	6,459 "," $	818,280 ", $	43.17 , $	0.34 
0046,South Metro Area Regional Transit,MB,DO,Active,Y,Wilsonville,OR,24,"Portland, OR-WA",524,"1,849,898",80,"20,515",2013,6,2013,0,"332,420",0.00," $	217,472 "," $	3,995,132 ", $	12.02 , $	0.65 
0047,City of Corvallis,DR,PT,Active,N,Corvallis,OR,436,"Corvallis, OR",21,"62,433",14,"54,674",2013,6,2013,,,,," $	39,952 ",,
0047,City of Corvallis,MB,PT,Active,N,Corvallis,OR,436,"Corvallis, OR",21,"62,433",14,"54,674",2013,6,2013,"3,693,551","1,183,072",3.12, $	-00 ," $	2,493,393 ", $	2.11 , $	-00 
0049,"vRide, Inc. - Anchorage",VP,DO,Active,N,Anchorage,AK,149,"Anchorage, AK",85,"251,243",77,"218,145",2013,12,2013,"11,210,995","256,245",43.75," $	643,117 "," $	1,199,049 ", $	4.68 , $	2.51 
0050,"City of Bend, Bend Area Transit",DR,PT,Inactive,Y,Bend,OR,344,"Bend, OR",40,"83,794",32,"82,280",2011,6,2011,0,"56,520",0.00," $	72,117 "," $	899,154 ", $	15.91 , $	1.28 
0050,"City of Bend, Bend Area Transit",MB,PT,Inactive,Y,Bend,OR,344,"Bend, OR",40,"83,794",32,"82,280",2011,6,2011,0,"377,941",0.00," $	210,335 "," $	1,298,678 ", $	3.44 , $	0.56 
0052,Metro,VP,PT,Inactive,Y,Portland,OR,24,"Portland, OR-WA",524,"1,849,898","6,817","2,241,913",2012,6,2012,0,"53,410",0.00," $	196,290 "," $	366,604 ", $	6.86 , $	3.68 
0053,Coeur d'Alene Tribe dba Citylink Transit,DR,DO,Active,Y,Worley,ID,304,"Coeur d'Alene, ID",47,"98,378",500,"6,550",2013,9,2013,0,"6,482",0.00, $	-00 ," $	97,898 ", $	15.10 , $	-00 
0053,Coeur d'Alene Tribe dba Citylink Transit,MB,DO,Active,Y,Worley,ID,304,"Coeur d'Alene, ID",47,"98,378",500,"6,550",2013,9,2013,0,"413,032",0.00, $	-00 ," $	1,528,810 ", $	3.70 , $	-00 
0054,King County Ferry District,FB,DO,Active,N,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,116","1,931,249",2013,12,2013,"2,392,812","445,110",5.38," $	1,625,208 "," $	5,193,701 ", $	11.67 , $	3.65 
